SJ_number,Species,sub_species,race,Kris_clade,cluster,my_clades,sample_type,lat,long,location,Drainage,City/road,County,State,temp_number,sample_number,field_number,Date_collected,Date extracted,Cytb_amp,ddRAD,ddRAD plate,filtered_out_95,Collector,University,Qubit_con_1(ng/ml),Fancy_number,Loan_number,strange_topology
LR01,C_venusta,venusta,Western_Gulf,West_tx,1,Texas,tissue,30.75393,-98.6761,Llano_river,Colorado,"Llano River at SHW16, below Llano City Lake damn",Llano,TX,13CVLR01,TCWC_16321.01_A,na,4/19/2013,12/9/2020,na,sent,1,no,"Conway, K.W., Kim, D.-M., & Krabbenhoft, T.",TXAM,14.5,C_ven_1038,na,no
LR02,C_venusta,venusta,Western_Gulf,West_tx,1,Texas,tissue,30.75393,-98.6761,Llano_river,Colorado,"Llano River at SHW16, below Llano City Lake damn",Llano,TX,13CVLR02,TCWC_16321.01_B,na,4/19/2013,12/9/2020,na,sent,1,no,"Conway, K.W., Kim, D.-M., & Krabbenhoft, T.",TXAM,15.4,C_ven_1039,na,no
LR04,C_venusta,venusta,Western_Gulf,West_tx,1,Texas,tissue,30.75393,-98.6761,Llano_river,Colorado,"Llano River at SHW16, below Llano City Lake damn",Llano,TX,13CVLR04,TCWC_16321.01_D,na,4/19/2013,12/9/2020,na,sent,1,no,"Conway, K.W., Kim, D.-M., & Krabbenhoft, T.",TXAM,20.5,C_ven_1041,na,no
DR01,C_venusta,venusta,Western_Gulf,West_tx,1,Texas,tissue,29.9671,-101.1492,Devils_river,Rio_Grande,"Devil's River at Bakers Crossing, FM163",Val_Verde,TX,13CVDR01,TCWC_16325.04_A,na,4/20/2013,12/9/2020,na,sent,1,no,"Conway, K.W., Kim, D.-M., & Krabbenhoft, T.",TXAM,12.4,C_ven_1042,na,no
DR04,C_venusta,venusta,Western_Gulf,West_tx,1,Texas,tissue,29.9671,-101.1492,Devils_river,Rio_Grande,"Devil's River at Bakers Crossing, FM166",Val_Verde,TX,13CVDR04,TCWC_16325.04_D,na,4/20/2013,12/9/2020,na,sent,1,no,"Conway, K.W., Kim, D.-M., & Krabbenhoft, T.",TXAM,12.2,C_ven_1045,na,no
RG02,C_venusta,venusta,Western_Gulf,West_tx,1,Texas,tissue,28.70851,-100.5097,Rio_Grande_river,Rio_Grande,"Rio Grande at Shelby Park boatramp, Eagle Pass",Maverick,TX,17CVRG02,TCWC_17564.13_B,na,3/21/2017,12/9/2020,na,sent,1,no,"Conway, K.W., Prestridge, H.L., Kubicek, K., & Pinion, A.K.",TXAM,19,C_ven_1054,na,no
RG03,C_venusta,venusta,Western_Gulf,West_tx,1,Texas,tissue,28.70851,-100.5097,Rio_Grande_river,Rio_Grande,"Rio Grande at Shelby Park boatramp, Eagle Pass",Maverick,TX,17CVRG03,TCWC_17564.13_C,na,3/21/2017,12/9/2020,na,sent,1,no,"Conway, K.W., Prestridge, H.L., Kubicek, K., & Pinion, A.K.",TXAM,18.1,C_ven_1055,na,no
PA01,C_venusta,venusta,Western_Gulf,East_tx-West_tx,1,Texas,tissue,32.352665,-98.01683,Paluxy_River,Brazos,"Paluxy River at TX highway 377 bridge, less than 1 mile east of Bluff Dale",Erath,TX,21CVPA01,147845,6142,3/2/2005,2/5/2021,na,sent,1,no,"Robins, Robert; Page, Lawrence; Thomson, A",FLMNH_Ichthyology,8.89,C_ven_1084,na,no
CR02,C_venusta,venusta,Western_Gulf,West_tx,1,Texas,tissue,30.33932,-98.4917,North_Grape_Creek,Colorado,North Grape Creek at RM road 1320; 2mi SW Sandy,Blanco,TX,21CVCR02,49531-2,na,3/7/2003,3/31/2021,na,sent,2,no,"Lang, N",UAIC,na,C_ven_1114,na,no
GR01,C_venusta,venusta,Western_Gulf,West_tx,1,Texas,tissue,29.72324,-99.06823,Medina_River,Guadalupe,Medina River at TX Hwy 173; Bandera,Bandera,TX,21CVGR01,49532-1,na,1/1/2003,4/6/2021,na,sent,2,no,"Lang, N",UAIC,na,C_ven_1136,na,no
