sample	sub_species	race	kris_clade	location	drainage
AK03 	venusta	Red_Lower_Miss	Mississippi	Arkansas_river	Arkansas_river
AR01 	cercostigma	eastern_gulf	Apalachicola	Apalachicola_river	Apalachicola_river
AR02 	cercostigma	eastern_gulf	Apalachicola	Apalachicola_river	Apalachicola_river
AR03 	cercostigma	eastern_gulf	Apalachicola	Apalachicola_river	Apalachicola_river
AR04 	cercostigma	eastern_gulf	Apalachicola	Apalachicola_river	Apalachicola_river
AR05 	cercostigma	eastern_gulf	Apalachicola	Apalachicola_river	Apalachicola_river
BB01 	venusta	Red_Lower_Miss	Mississippi	Big_Black_River	Big_Black_River
BB02 	venusta	Red_Lower_Miss	Mississippi	Big_Black_River	Big_Black_River
BC02 	venusta	western_gulf	unknown	Bayou_du_Chien	Mississippi_KY
BC03 	venusta	western_gulf	unknown	Bayou_du_Chien	Mississippi_KY
BC05 	venusta	western_gulf	unknown	Bayou_du_Chien	Mississippi_KY
BR03 	venusta	western_gulf	east_west_tx	Salado_creek	Brazos
BR04 	venusta	western_gulf	east_west_tx	Salado_creek	Brazos
BW02 	stigmatura	stigmatura	Mobile	North_river	Black_Warrior
BW03 	stigmatura	stigmatura	Mobile	North_river	Black_Warrior
CB01 	venusta	western_gulf	east_west_tx	Little_Bernard_creek	Brazos_Colorado_Coastal
CH01 	cercostigma	eastern_gulf	Choctawhatchee	Pea_river	Choctawhatchee
CH03 	cercostigma	eastern_gulf	Choctawhatchee	Pea_river	Choctawhatchee
CH04 	cercostigma	eastern_gulf	Choctawhatchee	Pea_river	Choctawhatchee
CH05 	cercostigma	eastern_gulf	Choctawhatchee	Pea_river	Choctawhatchee
CN01 	cercostigma	eastern_gulf	unknown	Burnt_Corn_creek	Conecuh
CN02 	cercostigma	eastern_gulf	unknown	Conecuh_river	Conecuh
CN03 	cercostigma	eastern_gulf	unknown	Conecuh_river	Conecuh
CN05 	cercostigma	eastern_gulf	unknown	Conecuh_river	Conecuh
CO02 	stigmatura	stigmatura	Mobile	Big_Canoe_Creek	Coosa
CO06 	stigmatura	stigmatura	Mobile	Terrapin_creek	Coosa
CO08 	stigmatura	stigmatura	Mobile	Terrapin_creek	Coosa
CR02 	venusta	western_gulf	west_tx	North_Grape_creek	Colorado_river
CR03 	venusta	western_gulf	west_tx	James_river	Colorado_river
CR04 	venusta	western_gulf	west_tx	James_river	Colorado_river
CR05 	venusta	western_gulf	west_tx	Little_Devils_river	Colorado_river
CR06 	venusta	western_gulf	west_tx	Little_Devils_river	Colorado_river
CR07 	venusta	western_gulf	west_tx	Little_Devils_river	Colorado_river
DR01 	venusta	western_gulf	west_tx	Devils_river	Rio_Grande
DR04 	venusta	western_gulf	west_tx	Devils_river	Rio_Grande
ES02 	cercostigma	eastern_gulf	unknown	Canoe_creek	Escambia
FO02 	venusta	western_gulf	west_tx	Frio_river	Frio_river
FR01 	cercostigma	eastern_gulf	Apalachicola	Flint_river	Flint_river
FR02 	cercostigma	eastern_gulf	Apalachicola	Flint_river	Flint_river
FR04 	cercostigma	eastern_gulf	Apalachicola	Flint_river	Flint_river
GR01 	venusta	western_gulf	west_tx	Medina_river	Guadalupe
HO01 	venusta	Red_Lower_Miss	Mississippi	Fork_Homochitto_river	Mississippi_MS
HO02 	venusta	Red_Lower_Miss	Mississippi	Fork_Homochitto_river	Mississippi_MS
LC01 	cercostigma	eastern_gulf	Apalachicola	Cedar_creek	Chattahoochee
LC05 	cercostigma	eastern_gulf	Apalachicola	Little_Uchee_creek	Chattahoochee
