"SJ_number"	"Species"	"sub_species"	"cluster"
"LR01"	"C_venusta"	"venusta"	1
"LR02"	"C_venusta"	"venusta"	1
"LR04"	"C_venusta"	"venusta"	1
"DR01"	"C_venusta"	"venusta"	1
"DR04"	"C_venusta"	"venusta"	1
"RG02"	"C_venusta"	"venusta"	1
"RG03"	"C_venusta"	"venusta"	1
"PA01"	"C_venusta"	"venusta"	1
"CR02"	"C_venusta"	"venusta"	1
"GR01"	"C_venusta"	"venusta"	1
"BR03"	"C_venusta"	"venusta"	1
"BR04"	"C_venusta"	"venusta"	1
"FO02"	"C_venusta"	"venusta"	1
"CR03"	"C_venusta"	"venusta"	1
"CR04"	"C_venusta"	"venusta"	1
"CR05"	"C_venusta"	"venusta"	1
"CR06"	"C_venusta"	"venusta"	1
"CR07"	"C_venusta"	"venusta"	1
"NR01"	"C_venusta"	"cercostigma"	2
"NR05"	"C_venusta"	"cercostigma"	2
"NR06"	"C_venusta"	"cercostigma"	2
"PR01"	"C_venusta"	"cercostigma"	2
"PR03"	"C_venusta"	"cercostigma"	2
"PR04"	"C_venusta"	"cercostigma"	2
"PR05"	"C_venusta"	"cercostigma"	2
"PR06"	"C_venusta"	"cercostigma"	2
"PR07"	"C_venusta"	"cercostigma"	2
"PR09"	"C_venusta"	"cercostigma"	2
"PR10"	"C_venusta"	"cercostigma"	2
"TB02"	"C_venusta"	"stigmatura"	2
"TB05"	"C_venusta"	"stigmatura"	2
"TL05"	"C_venusta"	"stigmatura"	2
"TL06"	"C_venusta"	"stigmatura"	2
"CO06"	"C_venusta"	"stigmatura"	2
"CO08"	"C_venusta"	"stigmatura"	2
"TL08"	"C_venusta"	"stigmatura"	2
"TL09"	"C_venusta"	"stigmatura"	2
"TB06"	"C_venusta"	"stigmatura"	2
"TB07"	"C_venusta"	"stigmatura"	2
"BW02"	"C_venusta"	"stigmatura"	2
"BW03"	"C_venusta"	"stigmatura"	2
"BC02"	"C_venusta"	"venusta"	3
"BC03"	"C_venusta"	"venusta"	3
"BC05"	"C_venusta"	"venusta"	3
"SC01"	"C_venusta"	"venusta"	3
"SC02"	"C_venusta"	"venusta"	3
